expname,training_length,enrollment_length,seed,classification_3s,classification_10s,classification_30s,accuracy_3s,accuracy_10s,accuracy_30s,c_primary_3s,c_primary_10s,c_primary_30s
lre_tr_500_en_10000_2,500,10000,2,/home/paul/gp-data/lre_tr_500_en_10000_2/exp/results/classification_3s,/home/paul/gp-data/lre_tr_500_en_10000_2/exp/results/classification_10s,/home/paul/gp-data/lre_tr_500_en_10000_2/exp/results/classification_30s,0.441,0.568,0.613,0.738,0.586,0.56
lre_tr_1000_en_500_2,1000,500,2,/home/paul/gp-data/lre_tr_1000_en_500_2/exp/results/classification_3s,/home/paul/gp-data/lre_tr_1000_en_500_2/exp/results/classification_10s,/home/paul/gp-data/lre_tr_1000_en_500_2/exp/results/classification_30s,0.493,0.627,0.661,0.661,0.498,0.479
lre_tr_1000_en_1000_2,1000,1000,2,/home/paul/gp-data/lre_tr_1000_en_1000_2/exp/results/classification_3s,/home/paul/gp-data/lre_tr_1000_en_1000_2/exp/results/classification_10s,/home/paul/gp-data/lre_tr_1000_en_1000_2/exp/results/classification_30s,0.513,0.653,0.688,0.643,0.474,0.453
lre_tr_1000_en_5000_2,1000,5000,2,/home/paul/gp-data/lre_tr_1000_en_5000_2/exp/results/classification_3s,/home/paul/gp-data/lre_tr_1000_en_5000_2/exp/results/classification_10s,/home/paul/gp-data/lre_tr_1000_en_5000_2/exp/results/classification_30s,0.526,0.665,0.702,0.623,0.451,0.426
lre_tr_1000_en_10000_2,1000,10000,2,/home/paul/gp-data/lre_tr_1000_en_10000_2/exp/results/classification_3s,/home/paul/gp-data/lre_tr_1000_en_10000_2/exp/results/classification_10s,/home/paul/gp-data/lre_tr_1000_en_10000_2/exp/results/classification_30s,0.528,0.663,0.699,0.622,0.458,0.437
lre_tr_5000_en_500_2,5000,500,2,/home/paul/gp-data/lre_tr_5000_en_500_2/exp/results/classification_3s,/home/paul/gp-data/lre_tr_5000_en_500_2/exp/results/classification_10s,/home/paul/gp-data/lre_tr_5000_en_500_2/exp/results/classification_30s,0.663,0.787,0.815,0.449,0.294,0.275
lre_tr_5000_en_1000_2,5000,1000,2,/home/paul/gp-data/lre_tr_5000_en_1000_2/exp/results/classification_3s,/home/paul/gp-data/lre_tr_5000_en_1000_2/exp/results/classification_10s,/home/paul/gp-data/lre_tr_5000_en_1000_2/exp/results/classification_30s,0.663,0.788,0.818,0.449,0.289,0.267
lre_tr_5000_en_5000_2,5000,5000,2,/home/paul/gp-data/lre_tr_5000_en_5000_2/exp/results/classification_3s,/home/paul/gp-data/lre_tr_5000_en_5000_2/exp/results/classification_10s,/home/paul/gp-data/lre_tr_5000_en_5000_2/exp/results/classification_30s,0.673,0.795,0.822,0.436,0.282,0.265
lre_tr_5000_en_10000_2,5000,10000,2,/home/paul/gp-data/lre_tr_5000_en_10000_2/exp/results/classification_3s,/home/paul/gp-data/lre_tr_5000_en_10000_2/exp/results/classification_10s,/home/paul/gp-data/lre_tr_5000_en_10000_2/exp/results/classification_30s,0.67,0.792,0.819,0.439,0.288,0.27
lre_tr_10000_en_500_2,10000,500,2,/home/paul/gp-data/lre_tr_10000_en_500_2/exp/results/classification_3s,/home/paul/gp-data/lre_tr_10000_en_500_2/exp/results/classification_10s,/home/paul/gp-data/lre_tr_10000_en_500_2/exp/results/classification_30s,0.686,0.812,0.838,0.417,0.26,0.241
