expname,training_languages,excluded_languages,seed,classification_3s,classification_10s,classification_30s,accuracy_3s,accuracy_10s,accuracy_30s,c_primary_3s,c_primary_10s,c_primary_30s
ad_all_tr_no_sp,all,SP,1,/home/paul/gp-data/ad_all_tr_no_sp/exp/results/classification_3s,/home/paul/gp-data/ad_all_tr_no_sp/exp/results/classification_10s,/home/paul/gp-data/ad_all_tr_no_sp/exp/results/classification_30s,0.659,0.777,0.808,0.452,0.306,0.286
ad_all_tr_no_fr_2,all,FR,2,/home/paul/gp-data/ad_all_tr_no_fr_2/exp/results/classification_3s,/home/paul/gp-data/ad_all_tr_no_fr_2/exp/results/classification_10s,/home/paul/gp-data/ad_all_tr_no_fr_2/exp/results/classification_30s,0.629,0.758,0.783,0.487,0.328,0.309
ad_all_tr_no_cz_2,all,CZ,2,/home/paul/gp-data/ad_all_tr_no_cz_2/exp/results/classification_3s,/home/paul/gp-data/ad_all_tr_no_cz_2/exp/results/classification_10s,/home/paul/gp-data/ad_all_tr_no_cz_2/exp/results/classification_30s,0.626,0.757,0.791,0.485,0.318,0.291
ad_all_tr_no_pl,all,PL,1,/home/paul/gp-data/ad_all_tr_no_pl/exp/results/classification_3s,/home/paul/gp-data/ad_all_tr_no_pl/exp/results/classification_10s,/home/paul/gp-data/ad_all_tr_no_pl/exp/results/classification_30s,0.643,0.766,0.796,0.469,0.312,0.291
ad_all_tr_no_sw,all,SW,1,/home/paul/gp-data/ad_all_tr_no_sw/exp/results/classification_3s,/home/paul/gp-data/ad_all_tr_no_sw/exp/results/classification_10s,/home/paul/gp-data/ad_all_tr_no_sw/exp/results/classification_30s,0.643,0.769,0.797,0.468,0.31,0.291
ad_all_tr_no_wu,all,WU,1,/home/paul/gp-data/ad_all_tr_no_wu/exp/results/classification_3s,/home/paul/gp-data/ad_all_tr_no_wu/exp/results/classification_10s,/home/paul/gp-data/ad_all_tr_no_wu/exp/results/classification_30s,0.662,0.791,0.816,0.451,0.289,0.273
ad_all_tr_no_ru_2,all,RU,2,/home/paul/gp-data/ad_all_tr_no_ru_2/exp/results/classification_3s,/home/paul/gp-data/ad_all_tr_no_ru_2/exp/results/classification_10s,/home/paul/gp-data/ad_all_tr_no_ru_2/exp/results/classification_30s,0.643,0.758,0.78,0.468,0.319,0.307
ad_all_tr_no_ja,all,JA,1,/home/paul/gp-data/ad_all_tr_no_ja/exp/results/classification_3s,/home/paul/gp-data/ad_all_tr_no_ja/exp/results/classification_10s,/home/paul/gp-data/ad_all_tr_no_ja/exp/results/classification_30s,0.661,0.789,0.816,0.459,0.3,0.282
ad_all_tr_no_vn_2,all,VN,2,/home/paul/gp-data/ad_all_tr_no_vn_2/exp/results/classification_3s,/home/paul/gp-data/ad_all_tr_no_vn_2/exp/results/classification_10s,/home/paul/gp-data/ad_all_tr_no_vn_2/exp/results/classification_30s,0.655,0.785,0.811,0.458,0.29,0.271
ad_all_tr_no_ar_2,all,AR,2,/home/paul/gp-data/ad_all_tr_no_ar_2/exp/results/classification_3s,/home/paul/gp-data/ad_all_tr_no_ar_2/exp/results/classification_10s,/home/paul/gp-data/ad_all_tr_no_ar_2/exp/results/classification_30s,0.655,0.782,0.812,0.461,0.302,0.282
ad_all_tr_no_cr,all,CR,1,/home/paul/gp-data/ad_all_tr_no_cr/exp/results/classification_3s,/home/paul/gp-data/ad_all_tr_no_cr/exp/results/classification_10s,/home/paul/gp-data/ad_all_tr_no_cr/exp/results/classification_30s,0.654,0.779,0.809,0.461,0.301,0.28
ad_all_tr_all_2,all,ALL,2,/home/paul/gp-data/ad_all_tr_all_2/exp/results/classification_3s,/home/paul/gp-data/ad_all_tr_all_2/exp/results/classification_10s,/home/paul/gp-data/ad_all_tr_all_2/exp/results/classification_30s,0.673,0.795,0.822,0.436,0.282,0.265
ad_all_tr_no_tu_2,all,TU,2,/home/paul/gp-data/ad_all_tr_no_tu_2/exp/results/classification_3s,/home/paul/gp-data/ad_all_tr_no_tu_2/exp/results/classification_10s,/home/paul/gp-data/ad_all_tr_no_tu_2/exp/results/classification_30s,0.644,0.77,0.803,0.475,0.315,0.29
ad_all_tr_no_ge,all,GE,1,/home/paul/gp-data/ad_all_tr_no_ge/exp/results/classification_3s,/home/paul/gp-data/ad_all_tr_no_ge/exp/results/classification_10s,/home/paul/gp-data/ad_all_tr_no_ge/exp/results/classification_30s,0.655,0.783,0.807,0.458,0.295,0.275
ad_all_tr_no_bg_2,all,BG,2,/home/paul/gp-data/ad_all_tr_no_bg_2/exp/results/classification_3s,/home/paul/gp-data/ad_all_tr_no_bg_2/exp/results/classification_10s,/home/paul/gp-data/ad_all_tr_no_bg_2/exp/results/classification_30s,0.629,0.754,0.786,0.487,0.33,0.307
ad_all_tr_no_ko_2,all,KO,2,/home/paul/gp-data/ad_all_tr_no_ko_2/exp/results/classification_3s,/home/paul/gp-data/ad_all_tr_no_ko_2/exp/results/classification_10s,/home/paul/gp-data/ad_all_tr_no_ko_2/exp/results/classification_30s,0.654,0.782,0.81,0.459,0.296,0.278
ad_all_tr_no_ch,all,CH,1,/home/paul/gp-data/ad_all_tr_no_ch/exp/results/classification_3s,/home/paul/gp-data/ad_all_tr_no_ch/exp/results/classification_10s,/home/paul/gp-data/ad_all_tr_no_ch/exp/results/classification_30s,0.661,0.789,0.815,0.452,0.294,0.278
ad_all_tr_all_3,all,ALL,3,/home/paul/gp-data/ad_all_tr_all_3/exp/results/classification_3s,/home/paul/gp-data/ad_all_tr_all_3/exp/results/classification_10s,/home/paul/gp-data/ad_all_tr_all_3/exp/results/classification_30s,0.667,0.797,0.822,0.438,0.277,0.26
ad_all_tr_no_ja_2,all,JA,2,/home/paul/gp-data/ad_all_tr_no_ja_2/exp/results/classification_3s,/home/paul/gp-data/ad_all_tr_no_ja_2/exp/results/classification_10s,/home/paul/gp-data/ad_all_tr_no_ja_2/exp/results/classification_30s,0.662,0.785,0.813,0.462,0.307,0.285
